category_list,main_sector
CONSUMERS,"Social, Finance, Analytics, Advertising"
CONTACT CENTERS,"Social, Finance, Analytics, Advertising"
CONTACT MANAGEMENT,"Social, Finance, Analytics, Advertising"
CONTENT,Entertainment
CONTENT CREATORS,Entertainment
CONTENT DELIVERY,Entertainment
CONTENT DISCOVERY,Entertainment
CONTENT SYNDICATION,Entertainment
CONTESTS,Entertainment
COOKING,Health
CORPORATE IT,"Social, Finance, Analytics, Advertising"
CORPORATE TRAINING,"Social, Finance, Analytics, Advertising"
CORPORATE WELLNESS,Health
COSMETIC SURGERY,Health
COSMETICS,Health
COUPONS,"Social, Finance, Analytics, Advertising"
COWORKING,"Social, Finance, Analytics, Advertising"
CRAFT BEER,Entertainment
CREATIVE,Entertainment
CREATIVE INDUSTRIES,Entertainment
CREDIT,"Social, Finance, Analytics, Advertising"
CREDIT CARDS,"Social, Finance, Analytics, Advertising"
CRM,"Social, Finance, Analytics, Advertising"
CROWDFUNDING,"Social, Finance, Analytics, Advertising"
CROWDSOURCING,"Social, Finance, Analytics, Advertising"
CURATED WEB,"News, Search and Messaging"
CUSTOM RETAIL,"Social, Finance, Analytics, Advertising"
CUSTOMER SERVICE,"Social, Finance, Analytics, Advertising"
CUSTOMER SUPPORT TOOLS,"Social, Finance, Analytics, Advertising"
CYBER,"Social, Finance, Analytics, Advertising"
CYBER SECURITY,"Social, Finance, Analytics, Advertising"
DATA CENTER AUTOMATION,"Social, Finance, Analytics, Advertising"
DATA CENTER INFRASTRUCTURE,"Social, Finance, Analytics, Advertising"
DATA CENTERS,"Social, Finance, Analytics, Advertising"
DATA INTEGRATION,"Social, Finance, Analytics, Advertising"
DATA MINING,"Social, Finance, Analytics, Advertising"
DATA PRIVACY,"Social, Finance, Analytics, Advertising"
DATA SECURITY,"Social, Finance, Analytics, Advertising"
DATA VISUALIZATION,"Social, Finance, Analytics, Advertising"
DATABASES,"Social, Finance, Analytics, Advertising"
DEBT COLLECTING,"Social, Finance, Analytics, Advertising"
DEFENSE,Manufacturing
DELIVERY,"News, Search and Messaging"
