category_list,Automotive & Sports,Blanks,Cleantech / Semiconductors,Entertainment,Health,Manufacturing,"News, Search and Messaging",Others,"Social, Finance, Analytics, Advertising",main_sector
Cable,0,0,0,0,0,0,1,0,0,Automotive & Sports
CAD,1,0,0,0,0,0,0,0,0,"News, Search and Messaging"
Call Center Automation,0,0,0,0,0,0,1,0,0,Health
Can0bis,0,0,0,0,1,0,0,0,0,Cleantech / Semiconductors
Carbon,0,0,1,0,0,0,0,0,0,"Social, Finance, Analytics, Advertising"
Career Ma0gement,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Career Planning,0,0,0,0,0,0,0,0,1,Automotive & Sports
Cars,1,0,0,0,0,0,0,0,0,Entertainment
Casual Games,0,0,0,1,0,0,0,0,0,Entertainment
Celebrity,0,0,0,1,0,0,0,0,0,"News, Search and Messaging"
Certification Test,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Charities,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Charity,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Charter Schools,0,0,0,0,0,0,0,0,1,"News, Search and Messaging"
Chat,0,0,0,0,0,0,1,0,0,Cleantech / Semiconductors
Chemicals,0,0,1,0,0,0,0,0,0,Health
Child Care,0,0,0,0,1,0,0,0,0,"News, Search and Messaging"
Chi0 Internet,0,0,0,0,0,0,1,0,0,Manufacturing
Civil Engineers,0,0,0,0,0,1,0,0,0,"News, Search and Messaging"
Classifieds,0,0,0,0,0,0,1,0,0,Cleantech / Semiconductors
Clean Energy,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Clean Technology,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Clean Technology IT,0,0,1,0,0,0,0,0,0,Health
Clinical Trials,0,0,0,0,1,0,0,0,0,"News, Search and Messaging"
Cloud-Based Music,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Cloud Computing,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Cloud Data Services,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
